ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
820.0,CENTRO Y PLAZA COMERCIAL,Centro Comercial La Guadalupana,República de Colombia,21,,Centro,06000,,Cuauhtémoc,POINT (486131.1094000004 2149323.4921000004)
821.0,CENTRO Y PLAZA COMERCIAL,Plaza la Paja,República de El Salvador,125,,Centro,06010,,Cuauhtémoc,POINT (486111.3514999999 2148286.9157999996)
822.0,CENTRO Y PLAZA COMERCIAL,Plaza Irlanda,República de Argentina,100,,Centro,06000,,Cuauhtémoc,POINT (486235.1468000002 2149747.5231)
823.0,CENTRO Y PLAZA COMERCIAL,Plaza de la Piel,República de Argentina,104,,Centro,06000,,Cuauhtémoc,POINT (486239.55950000044 2149764.7327999994)
824.0,CENTRO Y PLAZA COMERCIAL,Gran Plaza Donceles,Donceles,75,,Centro,06000,,Cuauhtémoc,POINT (485871.6171000004 2149075.512)
825.0,CENTRO Y PLAZA COMERCIAL,Edificio Plancarte y La Bastida,Donceles,,,Centro,06000,,Cuauhtémoc,POINT (485875.00019999966 2149106.2540000007)
826.0,CENTRO Y PLAZA COMERCUAL,Correo mayor 109,Correo Mayor,109,,Centro,06000,,Cuauhtémoc,POINT (486262.40359999985 2148129.2474000007)
827.0,CENTRO Y PLAZA COMERCIAL,CENTRO JOYERO PALMA 5,Palma,5,,Centro,06000,,Cuauhtémoc,POINT (485808.7083999999 2148944.9777000006)
828.0,,Cntro Joyero,Monte de Piedad,2,,Centro,06000,,Cuauhtémoc,POINT (485925.72300000023 2148959.0407)
829.0,CENTRO Y PLAZA COMERCIAL,Plaza del Peluche,República de Bolivia,64,,Centro,06000,,Cuauhtémoc,POINT (486494.94820000045 2149423.4431)
830.0,CENTRO Y PLAZA COMERCIAL,Plaza de los lentes Tacuba,Motolinia,5,,Centro,06000,,Cuauhtémoc,POINT (485592.1403999999 2148997.6692999993)
831.0,CENTRO Y PLAZA COMERCIAL,Plaza de la Tecnología,Eje Central Lázaro Cárdenas,54,,Centro,06000,,Cuauhtémoc,POINT (485184.0285 2148485.7158000004)
832.0,CENTRO Y PLAZA COMERCIAL,Plaza Verde,Rodríguez Puebla,32,,Centro,06000,,Cuauhtémoc,POINT (486629.983 2149262.693)
833.0,CENTRO Y PLAZA COMERCIAL,Centro Joyero PALMA 30,Palma,30,,Centro,06000,,Cuauhtémoc,POINT (485827.4748999998 2148742.770199999)
834.0,CENTRO Y PLAZA COMERCIAL,Pasaje Alameda,,,,,,,Cuauhtémoc,POINT (484596.63599999994 2148947.593800001)
835.0,CENTRO Y PLAZA COMERCIAL,Pabellón Capital,Mesones,32,,Centro,06000,,Cuauhtémoc,POINT (485369.94180000015 2148437.6974)
836.0,CENTRO Y PLAZA COMERCIAL,Plaza Meave,Eje Central,S/N,Entre Meave y Vizcaínas,Centro,06000,,Cuauhtémoc,POINT (485175.7440999998 2148341.2179000005)
837.0,PLAZA Y CENTRO COMERCIAL,Pasaje Borda,Bolívar,24,,Centro,06000,,Cuauhtémoc,POINT (485500.56769999955 2148803.1016000006)
838.0,CENTRO Y PLAZA COMERCIAL,Madero 47,Francisco I. Madero,47,,Centro,06000,,Cuauhtémoc,POINT (485663.08469999954 2148778.354800001)
839.0,CENTRO Y PLAZA COMERCIAL,Juárez 32,Juárez,32,,Centro,06000,,Cuauhtémoc,POINT (484946.5036000004 2148891.3539000005)
840.0,CENTRO Y PLAZA COMERCIAL,Izazaga 117,Izazaga,117,,Centro,06000,,Cuauhtémoc,POINT (485807.6962000001 2147963.618899999)
